"","autoctr","StockCode","sciname","ReproducRefNo","ReproMode","Fertilization","MatingSystem","MonogamyType","MatingRefNo","MatingQuality","Spawning","BatchSpawner","SpawnModRef","RepGuild1","RepGuild2","ParentalCare","ParentalCareQ","ParentalCareRef","RepAquarium","RepAquaRef","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","AddInfos","TS","SpecCode"
"50",1749,3468,"Gasterosteus wheatlandi",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters","paternal","1",205,NA,NA,2,"2011-07-08T00:00:00.000Z",NA,"2011-07-08T00:00:00.000Z",NA,NA,"Males build, guard and aerate the nest where the eggs are deposited (Ref. 205).",NA,3272
"51",10955,4288,"Gymnocanthus tricuspis",101741,"dioecism",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"2015-05-20T00:00:00.000Z",NA,"2015-05-20T00:00:00.000Z",NA,NA,"Oviparous (Ref. 101741).",NA,4092
"52",10950,4289,"Hemilepidotus hemilepidotus",101741,"dioecism",NA,NA,NA,NA,NA,NA,0,NA,"guarders",NA,NA,NA,NA,NA,NA,2,"2015-05-20T00:00:00.000Z",NA,"2015-05-20T00:00:00.000Z",NA,NA,NA,NA,4093
"53",10951,4291,"Hemilepidotus spinosus",101741,"dioecism",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"2015-05-20T00:00:00.000Z",NA,"2015-05-20T00:00:00.000Z",NA,NA,"Oviparous (Ref. 101741).",NA,4095
"54",2110,4293,"Hemitripterus americanus",34819,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,NA,NA,2,"2002-01-22T00:00:00.000Z",NA,"2002-01-22T00:00:00.000Z",NA,NA,"Adults attach their eggs near the base of a sponge to use as a spawning bed (Ref. 34819, 41075).",NA,4097
"55",5585,12051,"Hemitripterus villosus",34819,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,NA,NA,2,"2002-01-22T00:00:00.000Z",NA,"2002-01-22T00:00:00.000Z",NA,NA,"Spawn in the calcareous deposits of colonies of the polychaeta, <i>Salmacina</i>sp. which makes them more of  'cavity spawners'  than 'spawners in live vertebrate' (Ref. 34819, 26281).",NA,11725
"56",797,4228,"Hexagrammos decagrammus",58332,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders",NA,"paternal","1",58332,NA,NA,2,"2007-05-22T00:00:00.000Z",NA,"2007-05-22T00:00:00.000Z",NA,NA,NA,NA,4032
"57",10925,4229,"Hexagrammos lagocephalus",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders",NA,"paternal","1",205,NA,NA,2,"2015-05-19T00:00:00.000Z",NA,"2015-05-19T00:00:00.000Z",NA,NA,NA,NA,4033
"58",3641,6918,"Hexagrammos otakii",559,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders",NA,NA,NA,NA,NA,NA,10,"1995-09-20T00:00:00.000Z",NA,"1996-03-16T00:00:00.000Z",10,"1996-03-16T00:00:00.000Z","Male guards eggs.",NA,6598
"59",798,4231,"Hexagrammos stelleri",58332,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders",NA,"paternal","1",58332,NA,NA,2,"2007-05-23T00:00:00.000Z",NA,"2007-05-23T00:00:00.000Z",NA,NA,"Male guards egg mass.",NA,4035
